ID	Assessment	Class	IUCN_Group_Number	IUCN_Group	IUCN_Subgroup		Name	Scope	Severity	Irreversibility	Past_criticality	Current_criticality	Trend_of_change	Future_criticality	Systemic_activity_(level_of_activity)	Systemic_activity_(no._of_influenced_elements)	Systemic_Activity	Strategic_relevance_(value)	Strategic_relevance_(Rank)	Manageability	Knowledge	Rank	Region	Climate	Human_Development_Index
1	CN-NAJ	Stress	2.2	Species_disturbance	2.2.2	Population_dynamics	Reduced_population_sizes	4	4	4	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
2	CN-NAJ	Stress	1.1	Ecosystem_conversion	1.1.1	Loss_of_habitat	Decrease_of_space_availability	4	4	4	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
3	CN-NAJ	Stress	1.3	Indirect_ecosystem_effect	1.3.5	Succession_and_regeneration	Reduced_regeneration_capacity	4	3	3	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
4	CN-NAJ	Stress	2.2	Species_disturbance	2.2.2	Population_dynamics	Unbalanced_population_age_structure	3	4	4	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
5	CN-NAF	Stress	1.2	Ecosystem_degradation	1.2.2	Freshwater_hydrological_regimes	Decrease_of_water_quantity	4	3	3	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
6	CN-NAF	Stress	1.2	Ecosystem_degradation	1.2.2	Freshwater_hydrological_regimes	Decrease_of_water_quality	4	1	2	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
7	CN-JIU	Stress	1.2	Ecosystem_degradation	1.2.3	Soil_conditions	Humus_reduction	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
8	CN-JIU	Stress	1.2	Ecosystem_degradation	1.2.3	Soil_conditions	Eroded_soils	1	2	2	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
9	CN-JIU	Stress	1.1	Ecosystem_conversion	1.1.2	Change_of_structure	Reduction_of_canopy_closure	3	1	1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
10	CN-JIU	Stress	2.2	Species_disturbance	2.2.2	Population_dynamics	Unbalanced_population_age_structure_(Reduced_number_of_mature_plants)	1	1	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
11	CN-JIU	Stress	2.2	Species_disturbance	2.2.2	Population_dynamics	Worsening_habitat_conditions_for_young_plants_and_reduced_germination	3	1	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
12	CN-JIU	Stress	2.2	Species_disturbance	2.2.2	Population_dynamics	Low_seed_production	3	2	2	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
13	CN-JIU	Stress	1.3	Indirect_ecosystem_effect	1.3.5	Succession_and_regeneration	Reduced_regeneration	3	2	2	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
14	CN-JIU	Stress	2.3	Indirect_species_effect	2.3.2	Community_composition	Loss_of_food_availability	4	3	2	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
15	CN-JIU	Stress	1.2	Ecosystem_degradation	1.2.2	Freshwater_hydrological_regimes	Low_water_levels	2	3	3	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
16	CN-JIU	Stress	1.2	Ecosystem_degradation	1.2.2	Freshwater_hydrological_regimes	Degradation_of_aquatic_habitats	3	3	3	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
17	CN-JIU	Stress	2.2	Species_disturbance	2.2.2	Population_dynamics	Reduced_population_sizes	4	4	4	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
18	CN-JIU	Stress	2.1	Species_mortality	2.1.1	Loss_of_biodiversity	Death_of_plants_and_animal_individuals	4	2	2	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
19	CN-JIU	Stress	1.3	Indirect_ecosystem_effect	1.3.4	Fragmentation	Loss_of_connectivity_(forests)	1	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
20	CN-JIU	Stress	1.3_	Indirect_ecosystem_effect	1.3.4	Fragmentation	Fragmentation	3	3	3	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
21	CN-JIU	Stress	1.1	Ecosystem_conversion	1.1.1	Loss_of_habitat	Decrease_of_forest_area_(old-growth_forest)	2	2	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
22	CR-MAN	Stress	2.2	Species_disturbance	2.2.2	Population_dynamics	Malformation_of_reptile_eggs	1	1	1	1	1	1	1	NA	NA	NA	3	1	2	2	7	LatAm	Tropics	High
23	CR-MAN	Stress	2.2	Species_disturbance	2.2.1	Physiology_and_behaviour	Increased_noise_pollution	1	1	1	1	1	2	3	NA	NA	NA	6	1	3	2	6	LatAm	Tropics	High
24	CR-MAN	Stress	2.3	Indirect_species_effect	2.3.2	Community_composition	Changes_in_species_composition_(new_competitors,_parasites,_predators)	3	3	4	1	4	1	1	NA	NA	NA	6	1	4	3	6	LatAm	Tropics	High
25	CR-MAN	Stress	2.2	Species_disturbance	2.2.2	Population_dynamics	Reduced_population_sizes_(fish_and_shell_fish)	3	3	3	3	3	2	1	NA	NA	NA	6	1	4	3	6	LatAm	Tropics	High
26	CR-MAN	Stress	1.3	Indirect_ecosystem_effect	1.3.1	Climatic_changes	Increased_temperature_of_nesting_materials_of_birds	4	4	3	1	4	1	1	NA	NA	NA	6	1	2	1	6	LatAm	Tropics	High
27	CR-MAN	Stress	2.2	Species_disturbance	2.2.2	Population_dynamics	Changes_in_sex_ratio_of_reptile_populations	4	4	3	1	4	1	1	NA	NA	NA	6	1	2	1	6	LatAm	Tropics	High
28	CR-MAN	Stress	1.1	Ecosystem_conversion	1.1.1	Loss_of_habitat	Decrease_of_forest_area	4	4	3	3	4	2	2	NA	NA	NA	8	2	3	2	5	LatAm	Tropics	High
29	CR-MAN	Stress	2.2	Species_disturbance	2.2.1	Physiology_and_behaviour	Mechanic_physical_damage	2	2	3	1	3	2	3	NA	NA	NA	8	2	3	2	5	LatAm	Tropics	High
30	CR-MAN	Stress	1.2	Ecosystem_degradation	1.2.1	Marine_water_characteristics	Physical_changes_in_the_water_column	3	3	2	1	3	2	3	NA	NA	NA	8	2	3	2	5	LatAm	Tropics	High
31	CR-MAN	Stress	1.2	Ecosystem_degradation	1.2.1	Marine_water_characteristics	Increase_of_organic_particles_in_suspension	2	3	2	2	3	2	4	NA	NA	NA	9	3	3	2	4	LatAm	Tropics	High
32	CR-MAN	Stress	2.3	Indirect_species_effect	2.3.2	Community_composition	Changes_in_the_trophic_chains	4	4	4	4	4	3	2	NA	NA	NA	9	3	4	2	4	LatAm	Tropics	High
33	CR-MAN	Stress	1.2	Ecosystem_degradation	1.2.3	Soil_conditions	Polluted_soils_(mud,_garbage,_wood_on_beaches)	3	3	3	2	3	2	4	NA	NA	NA	9	3	3	1	4	LatAm	Tropics	High
34	CR-MAN	Stress	1.2	Ecosystem_degradation	1.2.1	Marine_water_characteristics	Changes_of_water_salinity	3	1	2	1	2	3	4	NA	NA	NA	9	3	4	1	4	LatAm	Tropics	High
35	CR-MAN	Stress	2.1	Species_mortality	2.1.1	Loss_of_biodiversity	Reduced_species_diversity_and_abundance_(corals)	3	3	3	1	3	3	4	NA	NA	NA	10	3	3	2	3	LatAm	Tropics	High
36	CR-MAN	Stress	1.2	Ecosystem_degradation	1.2.3	Soil_conditions	Changes_in_granulation_and_composition_of_beaches	2	1	3	1	3	3	4	NA	NA	NA	10	3	2	1	3	LatAm	Tropics	High
37	CR-MAN	Stress	1.2	Ecosystem_degradation	1.2.1	Marine_water_characteristics	Increased_sediment_load	4	3	3	2	4	2	4	NA	NA	NA	10	3	2	1	3	LatAm	Tropics	High
38	CR-MAN	Stress	2.1	Species_mortality	2.1.1	Loss_of_biodiversity	Loss_of_species	3	2	3	1	3	3	4	NA	NA	NA	10	3	4	2	3	LatAm	Tropics	High
39	CR-MAN	Stress	2.3	Indirect_species_effect	2.3.1	Synecological_interactions	Changed_patterns_of_species_distribution_and_migration	3	3	3	1	3	3	4	NA	NA	NA	10	3	4	1	3	LatAm	Tropics	High
40	CR-MAN	Stress	2.3	Indirect_species_effect	2.3.2	Community_composition	Changes_in_species_distribution_and_abundance	3	3	3	1	3	3	4	NA	NA	NA	10	3	2	2	3	LatAm	Tropics	High
41	CR-MAN	Stress	2.2	Species_disturbance	2.2.1	Physiology_and_behaviour	Changes_in_calcification_regimes	4	2	4	1	4	3	4	NA	NA	NA	11	4	3	2	2	LatAm	Tropics	High
42	CR-MAN	Stress	1.2	Ecosystem_degradation	1.2.1	Marine_water_characteristics	Ocean_acidification	4	3	4	1	4	3	4	NA	NA	NA	11	4	3	2	2	LatAm	Tropics	High
43	CR-MAN	Stress	2.2	Species_disturbance	2.2.1	Physiology_and_behaviour	Changes_in_species_behaviour_(turtles,_light)	2	3	4	1	4	3	4	NA	NA	NA	11	4	3	2	2	LatAm	Tropics	High
44	CR-MAN	Stress	2.2	Species_disturbance	2.2.1	Physiology_and_behaviour	Changes_in_species_behaviour_(monkeys)	4	4	4	1	4	3	4	NA	NA	NA	11	4	2	2	2	LatAm	Tropics	High
45	CR-MAN	Stress	1.1	Ecosystem_conversion	1.1.1	Loss_of_habitat	Decrease_of_beach_area	4	4	4	1	4	3	4	NA	NA	NA	11	4	4	3	2	LatAm	Tropics	High
46	CR-MAN	Stress	1.1	Ecosystem_conversion	1.1.2	Change_of_structure	Changes_in_coral_reef_structure	2	3	4	1	4	3	4	NA	NA	NA	11	4	4	2	2	LatAm	Tropics	High
47	CR-MAN	Stress	1.2	Ecosystem_degradation	1.2.2	Freshwater_hydrological_regimes	Changed_water_regime	4	4	4	1	4	3	4	NA	NA	NA	11	4	4	2	2	LatAm	Tropics	High
48	CR-MAN	Stress	2.2	Species_disturbance	2.2.1	Physiology_and_behaviour	Thermic_stress_of_corals	4	4	4	1	4	3	4	NA	NA	NA	11	4	2	2	2	LatAm	Tropics	High
49	CR-MAN	Stress	1.2	Ecosystem_degradation	1.2.1	Marine_water_characteristics	Increased_sediment_load_at_coral_reefs	4	4	4	1	4	4	4	NA	NA	NA	12	4	4	2	1	LatAm	Tropics	High
50	CR-CAH	Stress	1.1	Ecosystem_conversion	1.1.1	Loss_of_habitat	Decrease_of_wetland_area	1	1	2	1	2	3	3	NA	NA	NA	8	2	3	2	7	LatAm	Tropics	High
51	CR-CAH	Stress	1.3	Indirect_ecosystem_effect	1.3.3	Energy_flow	Reduced_productivity_of_wetlands	1	1	2	1	2	2	3	NA	NA	NA	7	2	4	3	6	LatAm	Tropics	High
52	CR-CAH	Stress	1.2	Ecosystem_degradation	1.2.2	Freshwater_hydrological_regimes	Changes_in_the_salinity_of_wetlands	3	3	3	1	3	2	3	NA	NA	NA	8	2	4	2	5	LatAm	Tropics	High
53	CR-CAH	Stress	2.1	Species_mortality	2.1.1	Loss_of_biodiversity	Reduced_species_diversity	3	3	3	1	3	2	3	NA	NA	NA	8	2	4	3	5	LatAm	Tropics	High
54	CR-CAH	Stress	1.2	Ecosystem_degradation	1.2.1	Marine_water_characteristics	Increase_of_organic_particles_in_suspension	3	3	3	2	3	3	2	NA	NA	NA	8	2	2	2	5	LatAm	Tropics	High
55	CR-CAH	Stress	1.2	Ecosystem_degradation	1.2.3	Soil_conditions	Polluted_soils_(Agrochemicals)	3	3	3	4	3	3	2	NA	NA	NA	8	2	2	2	5	LatAm	Tropics	High
56	CR-CAH	Stress	2.2	Species_disturbance	2.2.1	Physiology_and_behaviour	Reduced_percentage_of_eggs_hatching	3	3	4	3	4	2	3	NA	NA	NA	9	3	2	1	4	LatAm	Tropics	High
57	CR-CAH	Stress	2.2	Species_disturbance	2.2.2	Population_dynamics	Reduced_population_sizes	3	3	3	2	3	3	3	NA	NA	NA	9	3	2	1	4	LatAm	Tropics	High
58	CR-CAH	Stress	2.3	Indirect_species_effect	2.3.2	Community_composition	Increased_productivity_of_algae	3	3	3	2	3	3	3	NA	NA	NA	9	3	4	2	4	LatAm	Tropics	High
59	CR-CAH	Stress	2.3	Indirect_species_effect	2.3.1	Synecological_interactions	Loss_of_access_to_nesting_sites_(beaches)	3	3	3	2	3	3	3	NA	NA	NA	9	3	2	1	4	LatAm	Tropics	High
60	CR-CAH	Stress	1.2	Ecosystem_degradation	1.2.1	Marine_water_characteristics	Increased_sediment_load	3	3	3	3	3	4	3	NA	NA	NA	10	3	2	1	3	LatAm	Tropics	High
61	CR-CAH	Stress	2.2	Species_disturbance	2.2.2	Population_dynamics	Changes_in_sex_ratio_of_reptile_populations	3	3	4	2	4	3	4	NA	NA	NA	11	4	3	1	2	LatAm	Tropics	High
62	CR-CAH	Stress	1.2	Ecosystem_degradation	1.2.1	Marine_water_characteristics	Ocean_acidification	4	3	3	2	4	3	4	NA	NA	NA	11	4	4	2	2	LatAm	Tropics	High
63	CR-CAH	Stress	1.1	Ecosystem_conversion	1.1.1	Loss_of_habitat	Loss_of_extent_of_coral_reefs	3	3	4	3	4	3	4	NA	NA	NA	11	4	4	1	2	LatAm	Tropics	High
64	CR-CAH	Stress	1.2	Ecosystem_degradation	1.2.1	Marine_water_characteristics	Reduced_UV_light_	4	4	3	3	4	4	3	NA	NA	NA	11	4	2	2	2	LatAm	Tropics	High
65	CR-CAH	Stress	1.1	Ecosystem_conversion	1.1.2	Change_of_structure	Changes_in_coral_reef_structure	4	4	4	3	4	3	4	NA	NA	NA	11	4	4	1	2	LatAm	Tropics	High
66	CR-CAH	Stress	1.3	Indirect_ecosystem_effect	1.3.1	Climatic_changes	Increased_sea_temperature	4	3	3	2	4	3	4	NA	NA	NA	11	4	4	2	2	LatAm	Tropics	High
67	CR-CAH	Stress	1.2	Ecosystem_degradation	1.2.1	Marine_water_characteristics	Reduced_availability_of_oxygen	4	4	4	3	4	4	4	NA	NA	NA	12	4	4	2	1	LatAm	Tropics	High
68	CR-CAH	Stress	1.1	Ecosystem_conversion	1.1.1	Loss_of_habitat	Decrease_of_beach_area	3	3	4	2	4	4	4	NA	NA	NA	12	4	2	2	1	LatAm	Tropics	High
69	GT-LAC	Stress	2.1	Species_mortality	2.1.1	Loss_of_biodiversity	Reduced_species_diversity_(Biodiversity_degradation)	3	4	3	2	4	3	4	NA	NA	NA	11	4	3	1	1	LatAm	Tropics	Medium
70	GT-LAC	Stress	1.1	Ecosystem_conversion	1.1.2	Change_of_structure	Change_in_forest_structure_and_composition	3	4	4	3	4	3	4	NA	NA	NA	11	4	3	1	1	LatAm	Tropics	Medium
71	GT-LAC	Stress	1.3	Indirect_ecosystem_effect	1.3.4	Fragmentation	Fragmentation	3	4	4	2	4	3	4	NA	NA	NA	11	4	3	1	1	LatAm	Tropics	Medium
72	GT-LAC	Stress	1.2	Ecosystem_degradation	1.2.3	Soil_conditions	Compacted_soils	3	3	4	2	4	3	4	NA	NA	NA	11	3	3	1	1	LatAm	Tropics	Medium
73	GT-LAC	Stress	1.2	Ecosystem_degradation	1.2.3	Soil_conditions	Low_water_retention	3	3	3	2	3	3	4	NA	NA	NA	10	3	3	1	2	LatAm	Tropics	Medium
74	GT-LAC	Stress	1.3	Indirect_ecosystem_effect	1.3.3	Energy_flow	Low_biomass	3	4	4	2	4	3	4	NA	NA	NA	11	4	2	1	1	LatAm	Tropics	Medium
75	GT-LAC	Stress	1.2	Ecosystem_degradation	1.2.3	Soil_conditions	Degraded_soils_(Missing_nutrients)	3	4	4	2	4	3	4	NA	NA	NA	11	4	3	1	1	LatAm	Tropics	Medium
76	PE-RCS	Stress	2.1	Species_mortality	2.1.1	Loss_of_biodiversity	Loss_of_species_(Pérdida_de_la_biodiversidad)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
77	PE-RCS	Stress	2.3	Indirect_species_effect	2.3.2	Community_composition	Changes_in_the_trophic_chains	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
78	PE-RCS	Stress	1.2	Ecosystem_degradation	1.2.2	Freshwater_hydrological_regimes	Reduced_water_levels_of_rivers_and_creeks	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
79	PE-RCS	Stress	2.2	Species_disturbance	2.2.2	Population_dynamics	Reduced_population_sizes_(of_fish_in_dry_season)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
80	PE-RCS	Stress	1.2	Ecosystem_degradation	1.2.3	Soil_conditions	Loss_of_soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
81	PE-RCS	Stress	2.1	Species_mortality	2.1.1	Loss_of_biodiversity	Loss_of_species_(endangered_species)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
82	PE-RCS	Stress	1.1	Ecosystem_conversion	1.1.1	Loss_of_habitat	Decrease_of_forest_area	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
83	PE-RCS	Stress	2.3	Indirect_species_effect	2.3.1	Synecological_interactions	Lack_of_pollinators	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
84	PE-RCS	Stress	1.2	Ecosystem_degradation	1.2.2	Freshwater_hydrological_regimes	Increased_variability_of_hydrological_regime	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
85	PE-RCS	Stress	2.2	Species_disturbance	2.2.2	Population_dynamics	Reduced_population_sizes_(fish)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
86	PE-RCS	Stress	2.3	Indirect_species_effect	2.3.1	Synecological_interactions	Lack_of_seed_dispersers	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
87	PE-RCS	Stress	1.3	Indirect_ecosystem_effect	1.3.1	Climatic_changes	Hydric_stress_	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
88	PE-RCS	Stress	1.3	Indirect_ecosystem_effect	1.3.5	Succession_and_regeneration	Reduced_regeneration_capacity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
89	PE-RCS	Stress	2.1	Species_mortality	2.1.1	Loss_of_biodiversity	Loss_of_species_(game)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
90	PE-RCS	Stress	2.1	Species_mortality	2.1.1	Loss_of_biodiversity	Loss_of_species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
91	PE-RCS	Stress	1.2	Ecosystem_degradation	1.2.2	Freshwater_hydrological_regimes	Polluted_water_(of_river_affects_forests)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
92	PE-RCS	Stress	2.3	Indirect_species_effect	2.3.1	Synecological_interactions	Changes_in_phenology	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
93	PE-RCS	Stress	2.3	Indirect_species_effect	2.3.2	Community_composition	Changes_in_composition_of_forest_fauna_and_flora	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
94	PE-RCS	Stress	1.2	Ecosystem_degradation	1.2.3	Soil_conditions	Polluted_soils	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
95	PE-RCS	Stress	2.2	Species_disturbance	2.2.1	Physiology_and_behaviour	Increased_wind_fall_of_tall_trees	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
96	PE-RCS	Stress	2.2	Species_disturbance	2.2.2	Population_dynamics	Changes_in_reproduction_of_animals_due_to_climate_change	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
97	DE-LRP	Stress	1.2	Ecosystem_degradation	1.2.2	Freshwater_hydrological_regimes	Temporal_dry_up_of_rivers_and_creeks	1	3	1	1	2	1	4	NA	NA	NA	7	2	3	2	4	World	Temperate	Very
98	DE-LRP	Stress	2.3	Indirect_species_effect	2.3.2	Community_composition	Forest_floor_covered_with_nitrophilous_grasses_and_shrubs	2	3	3	4	3	2	4	NA	NA	NA	9	3	3	2	2	World	Temperate	Very
99	DE-LRP	Stress	1.2	Ecosystem_degradation	1.2.2	Freshwater_hydrological_regimes	Low_water_levels	1	1	1	2	1	1	4	NA	NA	NA	6	1	2	2	5	World	Temperate	Very
100	DE-LRP	Stress	1.1	Ecosystem_conversion	1.1.1	Loss_of_habitat	Loss_of_large,_undivided,_undisturbed_areas	2	2	4	1	3	2	3	NA	NA	NA	8	2	2	1	3	World	Temperate	Very
101	DE-LRP	Stress	2.1	Species_mortality	2.1.1	Loss_of_biodiversity	Loss_of_species	3	2	2	3	2	2	2	NA	NA	NA	6	1	2	NA	5	World	Temperate	Very
102	DE-LRP	Stress	1.1	Ecosystem_conversion	1.1.1	Loss_of_habitat	Loss_of_habitat_(historic_buildings)	2	4	1	1	2	2	3	NA	NA	NA	7	2	2	2	4	World	Temperate	Very
103	DE-LRP	Stress	1.2	Ecosystem_degradation	1.2.2	Freshwater_hydrological_regimes	Changes_in_hydro_morphology	2	2	2	3	2	1	2	NA	NA	NA	5	1	1	1	6	World	Temperate	Very
104	DE-LRP	Stress	1.3	Indirect_ecosystem_effect	1.3.1	Climatic_changes	Thermic_stress_(trees)	4	2	3	1	3	3	4	NA	NA	NA	10	3	3	3	1	World	Temperate	Very
105	DE-LRP	Stress	2.2	Species_disturbance	2.2.1	Physiology_and_behaviour	Disturbance_and_killing_of_birds_and_bats	1	1	4	1	3	3	4	NA	NA	NA	10	3	1	3	1	World	Temperate	Very
106	DE-LRP	Stress	1.2	Ecosystem_degradation	1.2.2	Freshwater_hydrological_regimes	Groundwater_level_decline	3	3	2	1	3	1	4	NA	NA	NA	8	2	3	2	3	World	Temperate	Very
107	DE-LRP	Stress	1.3	Indirect_ecosystem_effect	1.3.1	Climatic_changes	Impairment_of_the_forest_microclimate	4	3	2	1	3	3	4	NA	NA	NA	10	3	3	2	1	World	Temperate	Very
108	DE-LRP	Stress	1.1	Ecosystem_conversion	1.1.2	Change_of_structure	Reduced_structural_and_species_diversity_	4	3	4	1	4	2	3	NA	NA	NA	9	3	3	3	2	World	Temperate	Very
109	DE-LRP	Stress	1.3	Indirect_ecosystem_effect	1.3.5	Succession_and_regeneration	Reduced_regeneration_(of_broad_leaf_forest_due_to_herbivory)	4	3	1	2	3	3	3	NA	NA	NA	9	3	3	2	2	World	Temperate	Very
110	DE-LRP	Stress	1.1	Ecosystem_conversion	1.1.2	Change_of_structure	Simplification_of_habitats_and_structural_complexity_	3	3	2	1	3	2	3	NA	NA	NA	8	2	3	2	3	World	Temperate	Very
111	DE-LRP	Stress	1.2	Ecosystem_degradation	1.2.3	Soil_conditions	Mineralization,_sagging,_subsidence_of_the_terrain_of_peat_soils	4	4	3	3	4	2	4	NA	NA	NA	10	3	2.5	1	1	World	Temperate	Very
112	DE-LRP	Stress	1.2	Ecosystem_degradation	1.2.2	Freshwater_hydrological_regimes	Low_groundwater_formation_rate	3	4	2	4	3	2	4	NA	NA	NA	9	3	2	1	2	World	Temperate	Very
113	DE-LRP	Stress	1.3	Indirect_ecosystem_effect	1.3.4	Fragmentation	Fragmentation_of_open_freshwater_sources	1	2	2	3	2	1	2	NA	NA	NA	5	1	1	1	6	World	Temperate	Very
114	DE-LRP	Stress	1.3	Indirect_ecosystem_effect	1.3.4	Fragmentation	Fragmentation_of_forests	3	2	4	2	3	3	4	NA	NA	NA	10	3	2	3	1	World	Temperate	Very
115	DE-LRP	Stress	1.1	Ecosystem_conversion	1.1.1	Loss_of_habitat	Decrease_of_mire_area	4	4	4	4	4	1	3	NA	NA	NA	8	2	2	1	3	World	Temperate	Very
116	DE-LRP	Stress	1.1	Ecosystem_conversion	1.1.1	Loss_of_habitat	Decrease_of_forest_area	1	4	3	1	3	3	4	NA	NA	NA	10	3	2	2	1	World	Temperate	Very
117	DE-LRP	Stress	1.1	Ecosystem_conversion	1.1.1	Loss_of_habitat	Loss_of_habitats_(wetlands)	1	4	4	2	3	2	3	NA	NA	NA	8	2	1	1	3	World	Temperate	Very
118	DE-LRP	Stress	2.3	Indirect_species_effect	2.3.1	Synecological_interactions	Lack_of_habitat_(for_predators_of_insect_pest_species)	4	3	4	2	4	2	3	NA	NA	NA	9	3	3	3	2	World	Temperate	Very
119	DE-LRP	Stress	1.2	Ecosystem_degradation	1.2.3	Soil_conditions	Eutrophication_	3	2	3	3	3	2	3	NA	NA	NA	8	2	3	2	3	World	Temperate	Very
